,artist,artist_uri,artists_genres,artist_popularity,artist_image
0,Slipknot,spotify:artist:05fG473iIaoy82BF1aGhL8,alternative metal,80,https://i.scdn.co/image/ab67616100005174f0a5deed446cf15482289b9d
1,Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,conscious hip hop,82,https://i.scdn.co/image/ab67616100005174c0f43abdba90d508842d7367
2,Deftones,spotify:artist:6Ghvu1VvMGScGpOUJBAHNH,alternative metal,76,https://i.scdn.co/image/ab676161000051744b2da0b72cab26ac518f1f0d
3,Architects,spotify:artist:3ZztVuWxHzNpl0THurTFCv,mathcore,66,https://i.scdn.co/image/ab676161000051745f56ea61ee19c912f730f195
4,Behemoth,spotify:artist:1MK0sGeyTNkbefYGj673e9,black metal,55,https://i.scdn.co/image/ab676161000051749892cc7b8d66d8e893e70a76
5,$uicideboy$,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,dark trap,87,https://i.scdn.co/image/ab6761610000517484c3e162cc178d07010560d2
6,Jinjer,spotify:artist:7o6cOczXTB8ioTAAJTbESf,slayer,58,https://i.scdn.co/image/ab676161000051740c094d5430cde352463b0175
7,Lil Peep,spotify:artist:2kCcBybjl3SAtIcwdWpUe3,emo rap,87,https://i.scdn.co/image/ab676161000051746685f03de475c4efb27da3c4
8,The Midnight,spotify:artist:2NFrAuh8RQdQoS7iYFbckw,nightrun,63,https://i.scdn.co/image/ab67616100005174767aa54ea96b135c06652d96
9,NF,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,hip hop,84,https://i.scdn.co/image/ab676161000051742ddbc93688aa74431df384ea
10,Marcin Przybyłowicz,spotify:artist:07vycW8ICLf5hKb22PFWXw,orchestral soundtrack,62,https://i.scdn.co/image/ab676161000051748125dcc152d4964f167512f2
11,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,dfw rap,91,https://i.scdn.co/image/ab67616100005174e07d6b0f2fcc2f2ba6bdc3ce
12,Rammstein,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,alternative metal,81,https://i.scdn.co/image/ab6761610000517439a93f3d5cdbcdf4a2ce88e5
13,Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,alternative metal,86,https://i.scdn.co/image/ab6761610000517434e5aa6afc1ba147bfbb0677
14,Bring Me The Horizon,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,melodic metalcore,81,https://i.scdn.co/image/ab6761610000517407603145b500ea5408074053
15,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,conscious hip hop,91,https://i.scdn.co/image/ab67616100005174ee29d711d7afd1e882486e1a
